time-col,obj-id-col,obj-size-col
0,0,1
1,0,1
2,0,1
4,1,1
6,1,1
7,2,1
8,2,1
9,2,1
11,3,1
13,3,1
14,4,1
15,4,1
16,4,1
18,5,1
20,5,1
21,6,1
22,6,1
23,6,1
25,7,1
27,7,1
28,8,1
29,8,1
30,8,1
32,9,1
34,9,1
36,11,1
38,11,1
40,13,1
42,13,1
44,15,1
46,15,1
48,17,1
50,17,1
52,19,1
52,19,1
53,0,1
54,0,1
55,0,1
56,2,1
57,2,1
58,2,1
59,4,1
60,4,1
61,4,1
62,6,1
63,6,1
64,6,1
65,8,1
66,8,1
67,8,1
