trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"zipf_1.7.oracleGeneral",0,0,0.0520028,100000000,4997325
"zipf_1.7.oracleGeneral",0,0,0.0509744,100000000,3346428
