trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"w09.oracleGeneral.bin.zst",0,432537,0.463217,49622929,7697078
"w09.oracleGeneral.bin.zst",0,432537,0.462489,49622929,3149048
