trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted,n_miss,n_hit
"w28.oracleGeneral.bin.zst",1,594430,0.454087,19739621,4075881,8963510,10776111
"w28.oracleGeneral.bin.zst",1,594430,0.432826,19739621,1719023,8543818,11195803
