trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"w26.oracleGeneral.bin.zst",0,144,0.588704,26532121,5429405
"w26.oracleGeneral.bin.zst",0,144,0.584312,26532121,494713
