trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted,n_miss,n_hit
"meta_reag.oracleGeneral.zst",1,1226253,0.325263,45623306,4671885,14839559,30783747
"meta_reag.oracleGeneral.zst",1,1226253,0.322572,45623306,1006160,14716815,30906491
