trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted,n_miss,n_hit
"meta_rnha.oracleGeneral.zst",1,350402,0.597984,96680668,12174665,57813522,38867146
"meta_rnha.oracleGeneral.zst",1,350402,0.59507,96680668,1897932,57531718,39148950
