trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted,n_miss,n_hit
"meta_rprn.oracleGeneral.zst",0,6986759,0.530168,88470732,9395689,46904371,41566361
"meta_rprn.oracleGeneral.zst",0,6986759,0.522335,88470732,1625545,46211363,42259369
