trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"zipf_1_10_100.oracleGeneral",381,0.213868,100000000,10270812
"zipf_1_10_100.oracleGeneral",381,0.209652,100000000,5873924
"zipf_1_10_100.oracleGeneral",381,0.215739,100000000,4677825
"zipf_1_10_100.oracleGeneral",381,0.218346,100000000,4208115
"zipf_1_10_100.oracleGeneral",381,0.220099,100000000,3949613
"zipf_1_10_100.oracleGeneral",381,0.221274,100000000,3779408
"zipf_1_10_100.oracleGeneral",381,0.222162,100000000,3655000
"zipf_1_10_100.oracleGeneral",381,0.222861,100000000,3553639
"zipf_1_10_100.oracleGeneral",381,0.223439,100000000,3476141
"zipf_1_10_100.oracleGeneral",381,0.223926,100000000,3405891
"zipf_1_10_100.oracleGeneral",381,0.224347,100000000,3346044
"zipf_1_10_100.oracleGeneral",381,0.22472,100000000,3295033
"zipf_1_10_100.oracleGeneral",381,0.225049,100000000,3251521
"zipf_1_10_100.oracleGeneral",381,0.225341,100000000,3208528
"zipf_1_10_100.oracleGeneral",381,0.225607,100000000,3174995
"zipf_1_10_100.oracleGeneral",381,0.225848,100000000,3139846
"zipf_1_10_100.oracleGeneral",381,0.226067,100000000,3109632
"zipf_1_10_100.oracleGeneral",381,0.22627,100000000,3081975
"zipf_1_10_100.oracleGeneral",381,0.226459,100000000,3056216
"zipf_1_10_100.oracleGeneral",381,0.226634,100000000,3032429
