trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted,n_miss,n_hit
"zipf_1_14.oracleGeneral",1,423609,0.0959894,14149451,1095333,1358198,12791253
"zipf_1_14.oracleGeneral",1,423609,0.0908348,14149451,715541,1285262,12864189
