trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"w04.oracleGeneral.bin.zst",1,18753,0.577651,77764582,18272178
"w04.oracleGeneral.bin.zst",1,18753,0.570486,77764582,1728170
